slot_id,biography_id,biography_traditional
0,127,"南蠻王孟獲麾下之將，第三洞元帥。與蜀
漢軍作戰，被俘虜後又被釋放，當再次出
戰時，被唾罵不知羞恥，面紅耳赤的退兵
。"
1,505,"吳臣。因為文才優秀，得到孫皓重用，但
後來由於有反抗的表現，而被處死。在正
史當中，為了忌諱晉文帝司馬昭之名，因
此記載為「韋曜」。"
2,31,"蜀漢之臣。原是劉表的門客，曾告知凶馬
的廬的由來，並將蔡瑁欲加害的消息密報
劉備。赤壁之戰後，正式成為劉備的屬下
。擅長舌辯。"
3,300,"天水郡的主簿。第一次北伐時，因為友人
姜維降了蜀漢，自己也打開城門投降。後
來任執金吾。"
4,301,"魏臣，殿中校尉，得到大將軍曹爽的信任
。文欽、毌丘儉叛亂的時候，為了阻止朋
友文欽反叛，自薦為使，但是沒有成功，
大哭返回。"
5,243,"蜀漢之臣。勸說劉備即帝位的文武百官之
一。諸葛亮第一次北伐時，被任命為博士
，負責內政，也負責過皇帝劉禪的教育。"
6,76,"曹操麾下的勇將。從曹操起兵時就隨其征
戰四方，其勇與張遼、徐晃等人齊名。但
是後來在樊城之戰中敗給關羽後投降，被
送回魏國後遭曹丕的嘲弄，羞憤而亡。"
7,211,"吳將。為了增援在魏國發動叛亂的諸葛誕
，率領援軍出征。雖然魏將王基勸說他投
降，但他還是為國盡忠，戰死沙場。"
8,598,"魏國的帳前校尉。姜維北伐時，在鄧艾麾
下與蜀軍交戰，並在鄧艾討伐蜀國時，也
與鄧忠一起擔任先鋒。蜀漢滅後，被鄧艾
任命為益州刺史。"
9,488,"東漢的山陽太守。參加反董卓聯盟第八鎮
。虎牢關之役時從軍，營救了敗給呂布軍
的王匡。正史記載，他是袁紹的表兄。"
10,169,"袁術之姪。袁術死後，護送袁術的靈柩和
其妻兒逃往廬江。但在途中，袁胤一行人
遭到毒手，玉璽也被奪走而落到了曹操手
裡。"
11,302,"蜀漢之將，右將軍。因黃皓的推薦而受重
用，代替姜維赴前線抗魏，但聽聞魏將鄧
艾勇猛，就害怕到不敢出戰。"
12,33,"袁紹的次子，幽州刺史。接納敗給曹操後
前去投奔的弟弟袁尚，但由於屬下背叛而
逃往烏丸，後來又投奔遼東的公孫康，卻
被公孫康砍下首級獻給曹操。"
13,491,"魏國武將。年少時被烏丸捉去。藉助烏丸
、鮮卑之力奪取烏丸校尉之位。後來歸順
曹操，跟隨征討烏丸。此人在正史中有記
載。"
14,32,"東漢的南陽太守，袁紹的異母兄弟。孫策
曾以玉璽為抵押，向他商借軍馬，後來據
玉璽自立為帝，但由於殘暴無道，終究招
致滅亡。"
15,34,"袁紹的三子。長相俊秀，因此得到了袁紹
的寵愛。袁紹死後，與兄長袁譚爭位，後
來敗給曹操，投奔身任幽州刺史的二哥袁
熙。"
16,5,"出身於名門袁家，為討伐董卓十八鎮諸侯
聯軍的盟主。董卓死後，為了稱霸中原，
與曹操鬥爭。可是，由於優柔寡斷，導致
在官渡之戰中大敗。"
17,518,"袁術的主簿。當袁術得到玉璽，正欲稱帝
時，他引用周文王雖有三分之二的天下，
卻還向殷稱臣的典故加以勸諫。"
18,35,"袁紹的長子，青州刺史。袁紹死後，由於
小弟袁尚自行繼位，與之相爭未成，於是
求得曹操的援助，雖然戰勝袁尚，自己最
終也死於曹操之手。"
19,170,"張魯麾下謀士。擔任張魯的參謀，提出過
各種建議。張魯聽信楊松的讒言欲斬龐德
時，他出面阻止。在張魯投降曹操後，也
被封為列侯。"
20,489,"袁術之子。袁術自立為帝後，便被立為太
子，待袁術死，投奔廬江太守劉勳，後來
孫策攻佔廬江，仍然繼續受其庇護。此人
只出現在正史中。"
21,460,"劉表麾下大臣。曾向劉表之子劉琮建議「
將軍既降，曹操必懈弛無備，設奇兵於險
處擊之」。後來隨同劉琮被流放青州，在
路上和主公一起被殺。"
22,171,"東漢的司徒。為了誅殺暴虐的董卓，用美
女貂蟬使「連環計」。董卓死後，壓抑不
住叛亂的李傕等董卓餘黨，被殺身亡。"
23,599,"司馬懿的六子，鎮東大將軍，琅邪王。討
伐東吳時，率領５萬士兵來助，和降伏吳
國的龍驤將軍王濬之軍會合，見大功告成
，喜不自勝。"
24,204,"魏將，鎮壓了毌丘儉之亂。諸葛誕叛亂時
，擔任鎮壓部隊的正先鋒出征，擊破朱異
、唐咨軍，殺死了于詮。據說通曉易學，
官拜鎮南將軍。"
25,56,"魏臣，天水太守。受鄧艾之命參加討伐蜀
漢，在綿竹之戰破蜀將諸葛瞻，攻下了綿
竹城。蜀漢滅亡後，回到任地的天水郡。"
26,519,"東漢的河內太守。響應袁紹、曹操等的反
董卓號召，率領大軍參加。差遣屬下方悅
去戰呂布，五個回合不到就被殺死。"
27,128,"魏國的散騎常侍。與王沈、王經一起被曹
髦所召，商議討伐司馬昭之事，但害怕大
難臨頭，便和王沈一同密報司馬昭。"
28,303,"魏將，雍州刺史。敗給背水一戰的姜維，
可是被陳泰、鄧艾救下。後來成為尚書，
但在曹髦起兵欲誅伐司馬昭時，和母親一
起被處斬。"
29,304,"蜀漢之臣，永昌太守。不響應孟獲叛亂蜀
國，因此遭到雍闓等人的攻擊，和呂凱一
起死守城池，直到諸葛亮到來。"
30,305,"晉臣，侍中。王濬向司馬炎上奏討吳時，
他勸諫等待一年讓吳國力自行疲憊，後來
決定伐吳後，被任命為安東大將軍，領兵
前去征討。"
31,151,"劉表麾下大臣。劉表死後，與蒯越一起勸
說劉琮投降曹操，後來被曹操封為關內侯
。是著名文人，「建安七子」之一。"
32,306,"袁譚麾下大臣，青州的別駕。袁譚死後被
梟首，他不顧曹操的命令，在袁譚首級旁
哭泣，因此其忠義受到肯定，被封為中郎
將。"
33,307,"晉將，建威將軍。參加討伐東吳的戰事，
領一軍攻打武昌，在石頭城與王濬軍會合
。「竹林七賢」之一。"
34,600,"魏國的雍州刺史。參加鄧艾的蜀漢討伐軍
，受命斷姜維的退路，但失敗，鍾會大怒
原本要將之斬首，但衛瓘勸諫，便交由晉
王司馬昭發落。"
35,150,"晉將。向司馬炎上奏討伐東吳，從益州順
長江而下攻入吳國，在石頭城迫使孫皓投
降。平定東吳後，被封為輔國大將軍。"
36,129,"魏國的太尉。當鄧艾和鍾會發兵討蜀之際
，和百官一同送行。在司馬昭正迷惑後繼
者的問題時，他勸諫「前代立少，多致亂
國」，促使長子司馬炎成為世子。"
37,130,"魏國的侍中。與王經、王業一起受曹髦所
召，商談誅殺司馬昭之事，但為恐責難，
便遊說王經共逃此難，但遭拒，於是聯同
王業向司馬昭通報。"
38,205,"曹真麾下的猛將，慣使六十斤重的大砍刀
和流星鎚。在陳倉與蜀漢軍馬交戰，殺死
了謝雄，重創張嶷，但在追擊蜀軍時被魏
延所殺。"
39,543,"曹操麾下將士。與劉岱共同防備徐州的劉
備，但被關羽擒獲。被釋放後，在許昌將
要被曹操下令處死時，多虧孔融求情才撿
回性命。"
40,308,"魏將。擔任征南大將軍，率領十萬軍馬攻
打東吳南郡，可是由於敵將丁奉在東興取
得勝利，作出再攻之無益的判斷，然後就
撤退了。"
41,131,"司馬昭的主簿。２５３年，跟隨司馬昭在
鐵籠山與姜維對戰，在飲水短缺時，進言
司馬昭不如仿傚東漢耿恭，拜井而得甘泉
。"
42,618,"魏將，胡遵之子，胡奮之弟。鍾會討伐蜀
漢時，以護軍之職參戰。蜀滅亡後，被企
圖謀反的鍾會監禁，但遣人將此事告知兒
子胡淵，使鍾會最後死在討伐軍之手。"
43,133,"魏將。西元２６３年，鍾會及鄧艾出兵伐
蜀時，為鍾會麾下的將軍。"
44,152,"蜀漢將軍。本是魏將，漢中攻防戰時因與
徐晃不睦，就此投降蜀方。南征北伐中表
現出色，街亭之戰時也擔任馬謖的副將參
戰，雖處敗勢，但仍率領少數人馬奮戰。"
45,309,"關羽麾下之臣，隨軍司馬。關羽攻打襄陽
時，因對荊州的守備感到不安而提醒關羽
。在關羽逃出後，他死守麥城，但得知關
羽死訊，隨即自殺。"
46,135,"公孫瓚的武將，只出現在正史當中。當公
孫瓚與袁紹相爭時，倒戈投向袁紹，並領
一萬兵攻打公孫瓚，但卻被田予說退。"
47,620,"荀彧之子，陳泰的岳父。２６０年，司馬
昭殺曹髦後曾勸說拒絕參朝的陳泰。後來
擔任司馬，勸諫司馬昭立司馬炎為世子。"
48,244,"劉璋麾下謀士，官任從事。將自己倒吊在
城門下，勸阻欲迎入劉備的劉璋，可是劉
璋拒諫，於是他斬斷吊住自己的繩索，撞
地自殺。"
49,51,"魏臣。原是東漢之臣，任會稽太守，後來
成為曹操的屬下，與華歆一起逼迫獻帝讓
位。渭水之戰中，與諸葛亮舌戰，被諸葛
亮氣死。"
50,492,"魏臣，曹爽的心腹。曹叡死後成為尚書，
但是被司馬懿殺死。根據正史記載，他是
東漢的大將軍何進之孫，為人頗為自愛。"
51,40,"劉表麾下大臣，蒯良之弟。曹操大軍來攻
時，他勸說劉表的後繼者劉琮投降。曹操
給予他高度的評價，說道：「吾不喜得荊
州，喜得異度。」（蒯越字異度）。"
52,41,"劉表麾下大臣，蒯越之兄。輔佐劉表，表
現活躍。孫堅來攻打荊州時，他授計給武
將呂公，令其伏擊孫堅，以矢石攻之，擊
斃了孫堅。"
53,596,"蜀將。諸葛亮第一次北伐時隨軍，２５８
年冬，姜維北伐時在後方守衛漢壽城，後
來鍾會伐蜀，敵不過只好逃往成都求援。"
54,467,"吳臣，中書丞。勸諫對外採取積極策略的
孫皓要慎重行事，但激怒了孫皓，因此被
趕出宮中。後來憂心吳國的未來，從此隱
姓埋名。"
55,196,"魏臣。勸阻曹彰與曹丕爭奪繼承之位。對
吳作戰時擔任曹休的參謀參戰，識破了周
魴的詐降。官拜魏國諫議大夫。"
56,414,"黃巾黨。黃巾之亂後，一直佔據汝南，被
當時正組織義軍的許褚捉住，遭曹操處斬
。"
57,195,"曹操麾下的謀士。本是漢臣，先後改投孫
策、曹操。演義中，逼迫獻帝讓位給曹丕
。正史和演義中對此人的評述截然不同。
任魏國尚書令。"
58,42,"魏臣。原是李傕部屬，但並不得志，於是
作了張繡的參謀。屢獻妙計，幾番擊破曹
軍。後來與主公張繡一起歸順曹操，官拜
魏國的太尉。"
59,310,"魏臣，郭嘉之子。郭嘉死後，被帶到曹操
府中，後來成為魏國的太子文學。據說此
人博學，但是待人態度好惡不一。"
60,43,"曹操麾下謀臣。智謀及洞察力兼備，深得
曹操信賴。平定河北時死於疾病，年僅三
十八歲。曹操在赤壁戰敗後，曾悲嘆「若
奉孝在，決不使吾有此大失」。"
61,480,"高定麾下的武將。身長九尺，慣使方天戟
。擔任高定軍的先鋒與魏延等交戰，最後
被俘。與高定一起投降，被封為牙門將。"
62,236,"董卓麾下之將。董卓死後，聽從賈詡的建
議，急襲長安，殺死王允等人，與李傕一
起執朝廷牛耳。後來成為山賊，被屬下伍
習殺死。"
63,140,"袁術的武將。當袁術出兵攻打呂布時，命
他負責接應友軍，後來袁術大敗，並受到
曹操的攻擊，他與梁剛、李豐、陳紀一起
守衛壽春，但最後城破被斬。"
64,311,"劉表麾下之將。劉備取了荊州後，就歸順
於劉備，和孟達一起守備葭萌關。是蜀漢
之將霍弋之父。"
65,77,"魏將。因司馬懿的推薦，被提拔為鎮西將
軍，受命守衛陳倉。擅長防衛戰，以三千
兵馬面對諸葛亮率領的三十萬大軍，據守
了二十多天。"
66,78,"曹操麾下的勇將。從曹操起兵起就隨其四
處征戰，與張遼、于禁、徐晃、張郃並稱
魏國名將，倍受讚譽。"
67,320,"魏將，揚州刺史，樂進之子。在對蜀作戰
中表現活躍。諸葛誕叛亂時，因接到賈充
密書之事洩露，遭受諸葛誕發兵奇襲，在
樓閣上被殺。"
68,79,"袁紹麾下的謀士。官渡之戰中，當烏巢被
襲之際，進言「可縱兵先擊曹操之寨」，
導致袁軍敗北。袁紹死後，成為袁譚的參
謀。"
69,143,"合浦太守脩允的私軍隊長。脩允死後，被
命令解散軍隊，於是發動叛亂，亂事擴展
到交州一帶，招致晉朝伐吳。"
70,248,"蜀漢大臣，官任侍中。在北伐前諸葛亮上
奏的「出師表」中，和董允、費禕一併被
評為誠實純良，可以委之以宮中諸事。"
71,312,"蜀漢之將，霍峻之子，建寧太守。聞知成
都陷落的消息後，著喪服痛哭，在建寧繼
續抵抗，但得知劉禪安然無恙後，便率領
屬下投降。"
72,206,"魏將。擔任行軍司馬，在曹真、司馬懿手
下統領軍馬。後來就任雍州刺史，追擊背
叛魏國的夏侯霸，在鐵籠山救出了司馬昭
。"
73,238,"魏將，夏侯淵的次子。經司馬懿的推薦，
與長兄夏侯霸一起成為對蜀漢作戰的先鋒
，與諸葛亮對抗。後來隨軍討伐公孫淵。"
74,6,"魏將，夏侯惇的堂弟。從曹操起兵時就能
獨當一面，擅長於急襲的猛將。但後來在
定軍山之戰中，中了蜀將法正的計謀，被
黃忠斬殺。"
75,313,"曹操的隨身之將，負責保管曹操的寶劍「
青釭」。在長阪坡正顧著搶奪擄掠時，被
趙雲一槍刺死，「青釭」也被奪去。"
76,245,"魏將，夏侯淵的四子。口齒伶俐，擅長兵
法。在司馬懿身邊擔任行軍司馬，與諸葛
亮率領的蜀漢大軍對峙。"
77,146,"魏國武將。２６３年，鍾會與鄧艾伐蜀時
，為隸屬於鍾會麾下的司馬。"
78,246,"魏將，夏侯淵的三子，從年幼時就文才出
眾。與夏侯和擔任行軍司馬，活躍在對蜀
漢作戰的最前線。"
79,247,"魏國太常卿，夏侯尚之子。與中書令李豐
等人一起，接受了魏帝曹芳誅殺司馬師的
血詔，但這個計劃馬上就被發覺，被處以
腰斬之刑。"
80,207,"魏將，夏侯惇之姪。在定軍山之戰中被俘
，但是與陳式交換人質，得以歸魏。後來
成為曹真屬下，以三路進攻東吳，但卻敗
給了陸遜的大軍。"
81,314,"夏侯惇之姪，夏侯尚之兄。守備天蕩山，
被蜀將嚴顏放起大火燒山，光顧著滅火之
時，不慎被嚴顏斬死。"
82,7,"魏將，曹操的親戚。在與呂布軍作戰中，
被曹性的暗箭射中，失去左目，但是，後
來仍繼續率軍轉戰各地。曹操死後不久，
他也隨之病死。"
83,80,"效忠過魏、蜀漢的武將，夏侯淵的長子。
曹爽被司馬懿誅殺時，感到自己也身處險
境，因而逃亡到蜀漢。妹妹是張飛之妻，
其女成為劉禪的皇后。"
84,278,"魏將，夏侯淵之子，夏侯惇的養子（正史
為夏侯惇的親生）。迎擊來犯的蜀漢大軍
，但實力不濟，戰敗逃往胡地，從此未歸
。"
85,235,"魏、晉之臣，賈逵之子，司馬昭的心腹。
指揮誅殺魏帝曹髦，鍾會之亂後赴蜀地以
收拾成都的混亂。在討伐東吳的戰事中，
態度頗為消極。"
86,619,"東吳的武衛士。２５８年，丁奉征討孫綝
時，和魏邈合力逮捕了孫綝的兄弟。"
87,530,"過去是個經營屠宰業的平民百姓，但自從
其胞妹成為靈帝的皇后後，成為外戚官居
高位。曾擔任大將軍之職，企圖剷除宦官
十常侍，但事情敗露，反被謀殺。"
88,506,"吳將，為孫策、孫權效力。和陸遜一起討
伐山賊時表現活躍。好奢華，喜用優質華
麗的兵器、鎧甲、兵船。只出現於正史之
中。"
